Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,description,agt_type,stage_label,stage - sort,stage_short,agt_dat,PAX_Hyperlink,PAX_Generate_PDF,PDF_Hyperlink,year
Georgia/(Abkhazia),Government/territory,43,Abkhazia peace process,Europe and Eurasia,247,1,Agreement on a Ceasefire and Separation of Forces,1994-05-14,Multiparty signed/agreed,3.0,5754,Intra,Cea,Ceas,"Georgia, Abkhazia",,,GEO,,392.0,,,882,No,Formalised commitment to ceasefire and made provision for separation of forces and deployment of peace-keeping force of the Commonwealth of Independent States (CISPKF) to monitor compliance.  Also appealed to UN to expand mandate of military services to provide for their participation.,Intrastate,Ceasefire,2,Ceasefire,Agreement on a Ceasefire and Separation of Forces (14/05/1994),https://pax.peaceagreements.org/agreements/247/,https://pax.peaceagreements.org/agreements/coding247/,https://pax.peaceagreements.org/media/documents/ag247_56bb62cf974cf.pdf,1994
El Salvador,Government,36,El Salvador peace process,Americas,593,1,Timetable for the Implementation of the Most Important Outstanding Agreements,1994-05-19,Multiparty signed/agreed,11.0,20545,Intra,Imp,ImpMod,"Govt of El Salvador, FMLN (no signing indicated)",,"Page 2, Public security 1/
3. With a view to ensuring full compliance with the Peace Accords, the parties agree to reschedule the following items pending in the area of public security:

Page 2, Untitled Footnote
1/ The parties undertake to comply with this complementary agreement without prejudice to their commitments under the remaining provisions of the Peace Accords relating to public security.",SLV,,316.0,1592,,817,No,Set timetable for collection and replacement of weapons and parties agreed to reschedule deployment of the PNC; demobilisation of National Police; restructuring of the Ministry of the Interior and Public Security and the provision of regulatory machinery.  UN to verify granting of ranks and assignment of duties in National Civil Police and functioning of National Public Security Academy.  Also agreed on measures to promote recruitment to National Civil Police and on timetable for land-transfer and reintegration programmes and for approval of legislative measures reflecting recommendations of the Commission on Truth.  UN to verify compliance with the agreement.  Annex I listed present status of draft laws and of international instruments and Annex II outlined action arising from the Peace Accords to be concluded and set timetable for reintegration of FMLN. Comprehensive agreement on agenda for constitutional legislative reform,Intrastate,Implementation,5,Implementation,Timetable for the Implementation of the Most Important Outstanding Agreements (19/05/1994),https://pax.peaceagreements.org/agreements/593/,https://pax.peaceagreements.org/agreements/coding593/,https://pax.peaceagreements.org/media/documents/ag593_57f75bc5b1f2b.pdf,1994
South Sudan/Sudan,Government/territory,109,Sudanese (North-South) peace process,Africa (excl MENA),918,1,The IGAD Declaration of Principles,1994-05-20,Multiparty signed/agreed,2.0,3358,Intra,SubPar,MultIss,Representative of the Government of the Republic of the Sudan (GOS); Sudan People's Liberation Movement/Sudan People's Liberation Army (SPLM/SPLA).,,,SSD,SDN,309.0,,,836,No,"Principles that constitute the basis for resolving the conflict, including an acknowledgment and acceptance by the parties that a military solution has not and will not bring peace, the people of South Sudan must have the right to self-determine their status, including for independence, and that unity of Sudan must be established in the political, legal, economic and social framework of the country with a sense of equality in wealth-sharing, respect for human rights, a constitutionally-founded independent judiciary, and a separation of religion and the state.",Intrastate,"Framework-substantive, partial",3,Substantive Partial,The IGAD Declaration of Principles (20/05/1994),https://pax.peaceagreements.org/agreements/918/,https://pax.peaceagreements.org/agreements/coding918/,https://pax.peaceagreements.org/media/documents/ag918_562f7feda4fdd.pdf,1994
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1637,1,Agreement on the Demilitarization of the 3km Total Exclusion Zone East of the River Drina,1994-05-21,Status unclear,1.0,1368,Intra,Cea,Rel,General Delic; General Milanovic,Witness: General Rose,"Page 1
In accordance with Resolution 913 of the Security Council, the military Commanders signing this document agree to fully comply with the following provisions...",BIH,,389.0,,,215,No,"This short agreement provides for an immediate and total ceasefire around the area of Gorazde, and withdrawal of Serbian forces from the total exclusion zone (TEZ). It also provides for freedom of movement for UNPROFOR, as maintainers of security throughout the TEZ.",Intrastate,Ceasefire,2,Ceasefire,Agreement on the Demilitarization of the 3km Total Exclusion Zone East of the River Drina (21/05/1994),https://pax.peaceagreements.org/agreements/1637/,https://pax.peaceagreements.org/agreements/coding1637/,https://pax.peaceagreements.org/media/documents/ag1637_5756eb44db16d.pdf,1994
Colombia,Government,97,Colombia I - Gaviria,Americas,147,1,"Acuerdo para la Paz y la Convivencia Ciudadana, Gobierno Nacional, Departamental y Municipal y Melicias Populares del Pueblo y para el Pueblo, Milicias Independientes, de Valle de Aburra y Milicias Metropolitanas, de la Ciudad de Medellin",1994-05-26,Multiparty signed/agreed,12.0,22144,Intra,SubComp,FrAg,"Por el Gobierno Nacional: CÉSAR GAVIRIA TRUJILLO Presidente de la República FABIO VILLEGAS RAMÍREZ Ministro de Gobierno JORGE ORLANDO MELO Consejero Presidencial para Medellín y su Area Metropolitana LUIS ALFREDO RAMOS BOTERO Alcalde de Medellín CARLOS EDUARDO JARAMILLO CASTILLO Consejero Presidencial para la Paz JUAN GOMEZ MARTÍNEZ Gobernador de Antioquia

Por las Milicias: Negociadores: CARLOS HERMAN CORREA HENAO ROBERTO EMILIO BEDOYA FERLY WEIMAR OROZCO MUÑOZ Voceros: JAMES ORREGO GONZALO CASTAÑO JOEL DE JESUS MAZO RAMIREZ HECTOR HERNANDO BENITEZ MORENO ARLES DE JESUS AGUIRRE ARLES RODRIGUEZ MORA",Testigo-Tutor: MONSEÑOR HECTOR FABIO HENAO,,COL,,289.0,,,856,No,Provided for social investment in communities; normalisation of citizen life (with special community programmes); a programme of reinsertion in political life for the MM; consideration of pardons; a protection programme; and support for the politicisation of MM.,Intrastate,"Framework-substantive, comprehensive",4,Substantive Comprehensive,"Acuerdo para la Paz y la Convivencia Ciudadana, Gobierno Nacional, Departamental y Municipal y Melicias Populares del Pueblo y para el Pueblo, Milicias Independientes, de Valle de Aburra y Milicias Metropolitanas, de la Ciudad de Medellin (26/05/1994)",https://pax.peaceagreements.org/agreements/147/,https://pax.peaceagreements.org/agreements/coding147/,https://pax.peaceagreements.org/media/documents/ag147_57924ec6ed423.pdf,1994
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1500,1,COREU from ICFY,1994-06-08,Multiparty signed/agreed,1.0,1083,InterIntra,Cea,Ceas,"[Ejup] Ganic, [Mile] Akmadzic and [Nikola] Koljevic",,,BIH,,389.0,,,,No,"This short agreement provides for a one month ceasefire starting from 10 June 1992, whilst parties continue to negotiate a comprehensive cessation of hostilities, following a failed draft agreement in Geneva at the ICFY. It also provides for an immediate and complete prisoner release under supervision of the ICRC, and UNPROFOR will continue to monitor military activity.",Interstate/mixed,Ceasefire,2,Ceasefire,COREU from ICFY (08/06/1994),https://pax.peaceagreements.org/agreements/1500/,https://pax.peaceagreements.org/agreements/coding1500/,https://pax.peaceagreements.org/media/documents/ag1500_59883307490ee.pdf,1994
Philippines,Government,88,Philippines-NDF process,Asia and Pacific,559,1,Joint Statement of the Government of the Republic of the Philippines (GRP) and the Panel for Peace Talks with the CPP/NPA/NDF and the National Democratic Front (NDF Delegation (Breukelen Joint Statement),1994-06-14,Multiparty signed/agreed,5.0,8554,Intra,Pre,PreOth,"GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES OF THE PHILIPPINES
Howard Q. Dee, Chairman, GRP Panel for Peace Talks with the CPP/NPA/NDF
Rep. Jose V.Yap, House of Representatives Member, GRP Panel
Silvestre H. Bello III, Member, GRP Panel
Rep. Jesus G. Dureza, House of Representatives, Advisor to the GRP Panel
Teresita L. de Castro, State Counsel, GRP Legal Consultant
Maria Lorenza G. Dalupan, Executive Director, GRP Panel Secretariat

National Democratic Front of the Philippines
Luis Jalandoni, NDF Vice Chairperson for International Affairs & Head of NDF Delegation
Asterio Palima, Member, NDF Delegation
Coni Ledesma, Member, NDF Delegation
Ruth de Leon, Member, NDF Delegation
Fidel Agcaoil, NDF Consultant
Jose Maria Sison, NDF Consultant",Atty. Romeo Capulong of the Philippine Peace Center also participated as Legal Consultant.,"Page 1, UNTITLED PREAMBLE
The GRP Panel headed by Chairman Howard Q. Dee and the NDF Deelgation headed by Vice Chairperson for International Affairs Luis Jalandoni held talks from 10 to 14 June 1994 in Breukelen, The Netherlands. These talks were held to advance the peace negotiations pursuant to the Joint Declaration of the GRP and the NDF signed on September 1, 1992 in The Hague, The Netherlands (henceforth, The Hague Declaration).
... The GRP and the NDF reaffirmed their adherence to The Hague Declaration.

Page 2, II. ISSUES DISCUSSED,
5. The NDF asserts its integrity and shall consider it a violation of The Hague Declaration if the GRP enters into talks with any person or entity pretending to represent the NDF or any of its organizations.
The GRP asserts its prerogative to adopt its own policy in this matter and in so doing, does not consider it a violation of The Hague Declaration.

Page 2-3, II. ISSUES DISCUSSED,
6. The NDF asserts its vigorous objection to the adoption of Proclamation Nos. 347 and 348 as amended by Proclamation No. 377, on the ground that these proclamations violate the letter and spirit of The Hague Declaration, more particularly, paragraph 4 and paragraph 5b which mandate that the subject matter covered by the proclamations properly belong to the substantive agenda of the formal negotiations. Furthermore, such amnesty program, adopted while peace negotiations are being conducted, impinges upon the organizational integrity of the NDF.
The GRP Panel reasserts its firm position that the issuance of the aforesaid amnesty proclamations, without prejudice to any other amnesty that may result from peace negotiations, does not violate the letter and spirit of The Hague Declaration, including paragraph 4 and 5b therefof. The GRP takes the position that the said proclamations respond to expressed desires of former rebels for amnesty so that they may live normal lives in peace, and the need to strike an equitable balance through amnesty for agents of the state to promote a climate of national reconciliation.
7. The NDF asserts its objections to Executive Order No. 125 on the ground that it seeks to impose upon the peace negotiations the GRP Constitution as the framework for the peace talks and is in violation of The Hague Declaration.
The GRP Panel reaffirms its position that the GRP commitment to Constitutional process and the Rule of Law as enunciated in Executive Order No. 125 does not violate The Hague Declaration, nor does it mean that it will cite the GRP Constitution as a basis for rejecting what otherwise would be just and valid proposals for reforms in socieity. If it is shown in fact that certain provisions of the GRP Constitution hinder the attainment of genuine reforms, the GRP Panel is willing to recommend to GRP authorities amendments thereto. In this context, it is clear that GRP's adherence to Constitutional processes does not constitute the imposition of the GRP Constitution as framework for the peace talks.
8. Both sides recognize the need for further discussion on the provisions of The Hague Declaration that will lead to agreements in order to realize the objectives of The Hague Declaration.",PHL,,209.0,,,790,No,"Not an agreement, but an account of the first round of exploratory talks. It provides for future discussion on issues relating to the political status of prisoners, and nature of amnesty granted by GRP particularly contentious. Agreement regarding substance of next round of talks that will be held in the third quarter of 1994.",Intrastate,Pre-negotiation,1,Pre-negotiation,Joint Statement of the Government of the Republic of the Philippines (GRP) and the Panel for Peace Talks with the CPP/NPA/NDF and the National Democratic Front (NDF Delegation (Breukelen Joint Statement) (14/06/1994),https://pax.peaceagreements.org/agreements/559/,https://pax.peaceagreements.org/agreements/coding559/,https://pax.peaceagreements.org/media/documents/ag559_5630efc2de637.pdf,1994
Colombia,Government,97,Colombia I - Gaviria,Americas,919,1,Comunicado entre el Gobierno Nacional y el Frente Francisco Garnica,1994-06-14,Multiparty signed/agreed,2.0,1705,Intra,Pre,Proc,"For the national government:

PA-X, Peace Agreement Access Tool (Translation © University of Edinburgh)
www.peaceagreements.org
2
•    CARLOS EDUARDO JARAMILLO C., Presidential Council for Peace
•    GONZALO DE FRANCISCO Z., Peace Council Adviser
•    RUBÉN DARÍO RAMÍREZ, Peace Council Adviser
For FFGCG:

•    AGUSTÍN ROJAS
•    HERTA DÍAZ
•    JUAN MIRANDA
•    SILFREDO SANDINO","For the church:
•    MONSIGNOR GUILLERMO VEGA, Colombian Episcopal Conference
•    PRESBYTER JOSÉ PEÑA, Archdiocese of Cartagena",,COL,,289.0,,,856,No,"This agreement designates a safe camp for the Frente Francisco Garnica during the negotiations. The conditions/topics to discuss to achieve the goal of demobilisation are economic and social reinsertion (incl. health, housing, work projects and technical assistance), education, legal aid, security, a peace monument, and ‘favorabilidad política’ which I translate as a favourable political environment perhaps for the consideration of their concerns or creation of political parties. Finally, they are asking for the inclusion of the Catholic Church as moral guarantor in the process of negotiations.",Intrastate,Pre-negotiation,1,Pre-negotiation,Comunicado entre el Gobierno Nacional y el Frente Francisco Garnica (14/06/1994),https://pax.peaceagreements.org/agreements/919/,https://pax.peaceagreements.org/agreements/coding919/,https://pax.peaceagreements.org/media/documents/ag919_57924f4415c85.pdf,1994
Guatemala,Government,45,Guatemala peace process,Americas,273,1,Agreement on Resettlement of the Population Groups uprooted by the Armed Conflict,1994-06-17,Multiparty signed/agreed,10.0,23627,Intra,SubPar,Iss,"For the Government of the Republic of Guatemala
Signed by:

Héctor ROSADA GRANADOS
General Carlos Enrique PINEDA CARRANDA
Antonio ARENALES FORNO
General Julio Arnoldo BALCONI TURCIOS
Mario PERMUTH 
General José Horacio SOTO SALAN
Amilcar BURGOS SOLIS

For the Unidad Revolucionaria Nacional Guatemalteca, General Command, 
Signed by:
Commander Rolando MORAN 
Commander Pablo MONSANTO
Commander Gaspar ILOM 
Carlos GONZALEZ","'Political and Diplomatic Commission', 
Signed:

Luis Felipe BECKER GUZMAN 
Miguel Angel SANDOVAL
Francisco VILLAGRAN MUNOZ 
Luz MENDEZ GUTIERREZ

Advisers
Signed by:
Mario Vinicio CASTAÑEDA 
Miguel Angel REYES
Jorge ROSAL

For the United Nations
(Signed) Jean ARNAULT, Moderator","Page 3, II. GUARANTEES FOR THE RESETTLEMENT OF UPROOTED POPULATION GROUPS, Objectives
1. Full respect for human rights and fundamental freedoms is essential for the security and dignity of resettlement processes. The Parties reiterate their decision to comply fully with the Comprehensive Agreement on Human Rights, which took effect on 29 March 1994, promoting respect for the human rights of uprooted populations, one of the vulnerable sectors which deserve particular attention, with special vigilance.

Page 9, VI. FINAL PROVISION
In accordance with the Framework Agreement of 10 January 1994, this Agreement shall be subject to international verification by the United Nations.

Page 1, PREAMBLE
... Reiterating that the present Agreement together with those to be signed on the other agenda items in the negotiation process form part of an agreement on a firm and lasting peace and shall enter into force at the time of the signing of such agreement, with the exception of matters relating to the Technical Committee referred to in section V of this agreement and in paragraph 4 of that section,",GTM,,233.0,1088,,809,No,"Government committed to guaranteeing conditions necessary for safe return of internally displaced, including: promote return of land, and to involve returnees in design and implementation of a comprehensive reintegration plan.  Government assumed responsibility for decentralisation and strengthening of municipal government.  Parties requested UN help fund projects resulting from the accord. It also provides commitment to protect human rights, including the rights of women, children and indigenous peoples.",Intrastate,"Framework-substantive, partial",3,Substantive Partial,Agreement on Resettlement of the Population Groups uprooted by the Armed Conflict (17/06/1994),https://pax.peaceagreements.org/agreements/273/,https://pax.peaceagreements.org/agreements/coding273/,https://pax.peaceagreements.org/media/documents/ag273_5630f6f3521b4.pdf,1994
Guatemala,Government,45,Guatemala peace process,Americas,296,1,Agreement to establish Commission to clarify past human rights violations and acts of violence that caused the Guatemalan population to suffer,1994-06-23,Multiparty signed/agreed,4.0,6828,Intra,SubPar,Iss,"For the Government of the Republic of Guatemala: (Signed) Héctor ROSADA GRANADOS; (Signed) General Carlos Enrique PINEDA CARRANZA; (Signed) Antonio M. ARENALES FORNO; (Signed) General Julio Arnoldo BALCONI TURCIOS; (Signed) General José Horacio SOTO SALAN; (Signed) Mario PERMUTH; (Signed) Amilcar BURGOS SOLIS
For the Unidad Revolucionaria Nacional Guatemalteca General Command: (Signed) Carlos GONZALES; (Signed) Commander Rolando MORAN; (Signed) Commander Gaspar ILOM; (Signed) Commander Pablo MONSANTO;","Political and Diplomatic Commission: (Signed) Luis Felipe BECKER GUZMAN; (Signed) Miguel Angel SANDOVAL; (Signed) Francisco VILLAGRAN MUÑOZ; (Signed) Luz MENDEZ GUTIERREZ
Advisers: (Signed) Mario Vinicio CASTAÑEDA; (Signed) Miguel Angel REYES; (Signed) Jorge ROSAL;
For the United Nations; (Signed) Jean ARNAULT, Moderator;","Page 1, Untitled Preamble
... Reiterating its wish to comply fully with the Comprehensive Agreement on Human Rights of 29 March 1994;

Page 3, International verification
In conformity with the Framework Agreement of 10 January 1994, implementation of this Agreement shall be subject to international verification by the United Nations.",GTM,,233.0,1089,,809,No,Defined process for investing human rights abuses and for producing recommendations to contribute to national reconciliation.  Agreed findings would not attribute responsibility to any individual and recommendations would not be legally binding.  Proceedings would be confidential and content and sources of information would not be made public.,Intrastate,"Framework-substantive, partial",3,Substantive Partial,Agreement to establish Commission to clarify past human rights violations and acts of violence that caused the Guatemalan population to suffer (23/06/1994),https://pax.peaceagreements.org/agreements/296/,https://pax.peaceagreements.org/agreements/coding296/,https://pax.peaceagreements.org/media/documents/ag296_57d9eb8f9e870.pdf,1994
Colombia,Government,97,Colombia I - Gaviria,Americas,148,1,"Acuerdo Político Final, Gobierno Nacional - Frente Francisco Garnica de la Coordinadora Guerrillera",1994-06-30,Multiparty signed/agreed,7.0,9749,Intra,SubPar,MultIss,"For the national government:
CESAR GAVIRIA TRUJILLO, President of the Republic
CARLOS EDUARDO JARAMILLO, Presidential Peace Councillor
FABIO VILLEGAS RAMIREZ, Minister of the Interior

For FFG:
LIBARDO ESCALANTE SIERRA
HIERTA DIAZ
JOSE FELIX PADILLA YEPES
LIBARDO LEONES LANDERO","Witness: Monsenor Guillermo Vega, Conferencia Episcopal de Colombia",,COL,,289.0,,,856,No,This Ageement brings Frente Francisco Garnica into the demobilization and politicization process of early nineties. Provides for economic and social insertion for the Frente; for consideration of pardons for Frente members; a programme of security; and support for politicisation.,Intrastate,"Framework-substantive, partial",3,Substantive Partial,"Acuerdo Político Final, Gobierno Nacional - Frente Francisco Garnica de la Coordinadora Guerrillera (30/06/1994)",https://pax.peaceagreements.org/agreements/148/,https://pax.peaceagreements.org/agreements/coding148/,https://pax.peaceagreements.org/media/documents/ag148_5795c357f2df0.pdf,1994
Yemen,Government/territory,122,Yemen unification process,Middle East and North Africa,250,1,Agreement on a Ceasefire in the Republic of Yemen,1994-06-30,Multiparty signed/agreed,1.0,1219,Intra,Cea,Ceas,"Minister for Foreign Affairs: M. Basendwah, Member of the Presidential Council: S. Muhammed",Minister for Foreign Affairs of the Russian Federation: Andrei V. Kozyrev,,YEM,,402.0,,,885,No,"In this agreements the parties agree to a comprehensive and general ceasefire, to continue negotiations in accordance with United Nations Security Council resolutions, and to allow access to the International Committee of the Red Cross and other humanitarian organisations to be allowed to deliver humanitarian relief.",Intrastate,Ceasefire,2,Ceasefire,Agreement on a Ceasefire in the Republic of Yemen (30/06/1994),https://pax.peaceagreements.org/agreements/250/,https://pax.peaceagreements.org/agreements/coding250/,https://pax.peaceagreements.org/media/documents/ag250_570d0ac56b8db.pdf,1994
Georgia/Russia/(Ossetia),Government/territory,44,South Ossetia peace process,Europe and Eurasia,1707,1,"Protocol of Understanding between the Government of the Republic of Georgia and the Government of the Russian Federation on Economic Restoration of the Regions Located in the Zone of the Georgian-Ossetian Conflict, Signed on 14 September 1993",1994-07-05,Multiparty signed/agreed,2.0,2054,InterIntra,Imp,ImpMod,"On behalf of the Government of Georgia I. Menagarishvili
On behalf of the Russian Federation A. Shokhin",,,GEO,RUS,393.0,,,,No,Protocol to implement 'Agreement between the Government of the Russian Federation and the Government of the Republic of Georgia on Restoration of Economy in the Zone of the Georgian-Ossetian Conflict' by creating a Joint Executive Body.,Interstate/mixed,Implementation,5,Implementation,"Protocol of Understanding between the Government of the Republic of Georgia and the Government of the Russian Federation on Economic Restoration of the Regions Located in the Zone of the Georgian-Ossetian Conflict, Signed on 14 September 1993 (05/07/1994)",https://pax.peaceagreements.org/agreements/1707/,https://pax.peaceagreements.org/agreements/coding1707/,https://pax.peaceagreements.org/media/documents/ag1707_57a450aa07943.pdf,1994
Burundi,Government,16,Burundi: Arusha and related peace process,Africa (excl MENA),1045,1,Déclaration des partis politiques agrées et du gouvernement contre les fauteurs de guerre et en faveur de la paix et de la sécurité,1994-07-06,Multiparty signed/agreed,3.0,8160,Intra,Pre,Prin,"Pour les Partis Politiques Agrées:
1.	Charles MUKASI, Président du Parti UPRONA
2.	Mathias HITIMANA, Président du Parti PRP
3.	Schadrack NIYONKURU, Président du Parti PP
4.	Cyrille SIGEJEJE, Président a.i. du Parti RADDES
5.	Sylvestre NTIBANTUNGANYA, Président du Parti Frodebu
6.	Ernest KABUSHEMEYE, Président du Parti RPB
7.	Ignace BANKAMWABO, Président du ANADDE
8.	Gaetan NIKOBAMYE, Président du Parti PL
9.	Vincent NDIKUMASABO, Président du PSD
10.	Nicéphore NDIMURUKUNDO, Président du Parti PIT
11.	Alphonse RUGAMBARARA, Président du Parti INKINZO
12.	Terence NSANZE, Président du Parti ABASA

Pour le Gouvernement: 
Le Premier Ministre: Anatole KANYENKIKO 
Le Président a.i. de la République: Sylvestre NTIBANTUNGANYA",,,BDI,,287.0,,,883,No,"This document is a call to stop inter alia the incantatory language, asking the government to take action, and the people of Burundi to renounce violence and give up arms. The call is signed by the presidents of political parties and the government (president and prime minister).",Intrastate,Pre-negotiation,1,Pre-negotiation,Déclaration des partis politiques agrées et du gouvernement contre les fauteurs de guerre et en faveur de la paix et de la sécurité (06/07/1994),https://pax.peaceagreements.org/agreements/1045/,https://pax.peaceagreements.org/agreements/coding1045/,https://pax.peaceagreements.org/media/documents/ag1045_57ac52c2e3e23.pdf,1994
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1226,1,Joint Communique,1994-07-12,Multiparty signed/agreed,1.0,2510,InterIntra,Ren,Reimp,Yasushi AKASHI; Kresimir ZUBAK; Ejup GANIC,,"Page 1
...The Republic of Bosnia and Herzegovina and the Federation of Bosnia and Herzegovina, the signatories of the Geneva Agreement of 8 June 1994 have confirmed its extension for a further period of one month beyond 10 July 1994. The United Nations Protection Force (UNPROFOR) reiterates its commitment and its best endeavors to achieve the aims stipulated in the above Agreement.

Page 1
...Taking note of the contributions made by the International Committee of the Red Cross on some aspects of the 8 June Agreement, the Special Representative of the Secretary-General welcomes the assurances given to him to continue to work towards early positive results in the implementation of paragraph 2 of that Agreement, with an attitude of greater flexibility.

Page 1
...In addition to its commitment to monitor and report all military activities as stipulated under the 8 June 1994 Agreement, UNPROFOR will endeavor to enhance its ability to monitor relevant military movements throughout the territory of the Republic of Bosnia and Herzegovina from the air and on the ground.",BIH,,389.0,,,215,No,"This short agreement extends the Geneva Agreement of 8 June 1994, reaffirming UNPROFOR's commitments to eradicate ethnic cleansing and other human rights violations, and to monitor and report all military activities.",Interstate/mixed,Renewal,6,Renewal,Joint Communique (12/07/1994),https://pax.peaceagreements.org/agreements/1226/,https://pax.peaceagreements.org/agreements/coding1226/,https://pax.peaceagreements.org/media/documents/ag1226_570bb62a4dc2f.pdf,1994
Georgia/(Abkhazia),Government/territory,43,Abkhazia peace process,Europe and Eurasia,603,1,Security Council Resolution 937 (1994) on Expansion and Extension of the Mandate of the UN Observer Mission in Georgia and its Cooperation with the CIS Peacekeeping Force,1994-07-21,Unilateral document,4.0,10044,Intra,Imp,ImpMod,United Nations Security Council,,"Reaffirming its resolutions 849 (1993) of 9 July 1993, 854 (1993) of 6 August 1993, 858 (1993) of 24 August 1993, 876 (1993) of 19 October 1993, 881 (1993) of 4 November 1993, 892 (1993) of 22 December 1993, 896 (1994) of 31 January 1994, 906 (1994) of 25 March 1994 and 934 (1994) of 30 June 1994, Recalling the letter of 16 June 1994 from the President of the Security Council to the Secretary-General (S/1994/714), Having considered the report of the Secretary-General of 12 July 1994 (S/1994/818 and Add.1); signed in Moscow on 4 April 1994; Agreement on a Cease-fire and Separation of Forces signed in Moscow on 14 May 1994 (S/1994/583); 
Declaration on measures for a political settlement of the Georgian-Abkhaz conflict (S/1994/397, annex I) and the Quadripartite Agreement;",GEO,,392.0,,,882,No,Resolution mandating an expanded UNOMIG to monitor and verify implementation of the Ceasefire Agmt,Intrastate,Implementation,5,Implementation,Security Council Resolution 937 (1994) on Expansion and Extension of the Mandate of the UN Observer Mission in Georgia and its Cooperation with the CIS Peacekeeping Force (21/07/1994),https://pax.peaceagreements.org/agreements/603/,https://pax.peaceagreements.org/agreements/coding603/,https://pax.peaceagreements.org/media/documents/ag603_56cda6cc16a52.pdf,1994
Israel/Jordan/(Palestine),Territory,63,Israel-Palestine peace process,Middle East and North Africa,591,1,The Washington Declaration,1994-07-26,Multiparty signed/agreed,4.0,7598,InterIntra,Pre,Prin,"Israel, signed by Yitzak Rabin; Jordan, signed by King Hussein;",mediated by Bill Clinton US President,,ISR,JOR,301.0,,,,No,Affirms a common commitment to peace.  Affirms the Common Agenda programmes and takes steps to further normalise relations between Israel and Jordan.,Interstate/mixed,Pre-negotiation,1,Pre-negotiation,The Washington Declaration (26/07/1994),https://pax.peaceagreements.org/agreements/591/,https://pax.peaceagreements.org/agreements/coding591/,https://pax.peaceagreements.org/media/documents/ag591_55f99b58a6ae5.pdf,1994
India/(Mizoram),Government/territory,51,India-Hmar-Bodoland peace process,Asia and Pacific,1837,1,Memorandum of Settlement Between The Government of Mizoram and the Hmar People’s Convention (HPC),1994-07-27,Multiparty signed/agreed,4.0,7685,Intra,SubComp,FrAg,"Sd/- (HMINGCHUNGHNUNG) President, Hmar People’s Convention
Sd/- (LALFAKZUALA) Chief Secretary, Govt. of Mizoram",,,IND,,296.0,,,,Yes,"An agreement settling the conflict between the Government of Mizoram and the Hmar People's Convention. It provides for devolving greater administrative powers to the Sinlung Hills Development Council, and an amnesty for members of the Hmar People’s Convention.",Intrastate,"Framework-substantive, comprehensive",4,Substantive Comprehensive,Memorandum of Settlement Between The Government of Mizoram and the Hmar People’s Convention (HPC) (27/07/1994),https://pax.peaceagreements.org/agreements/1837/,https://pax.peaceagreements.org/agreements/coding1837/,https://pax.peaceagreements.org/media/documents/ag1837_593023a4357aa.pdf,1994
Armenia/Azerbaijan/(Nagorno-Karabakh),Government/territory,8,Armenia-Azerbaijan-Nagorno Karabakh: Process 1990s,Europe and Eurasia,1733,1,Agreement on Confirmation of Commitment to Ceasefire,1994-07-27,Multiparty signed/agreed,1.0,1725,Intra,Cea,Rel,"Mammadrafi Mammadov, Minister of Defence of Azerbaijan

Serzh Sargsyan, Minister of Defence of Armenia

Samvel Babayan, Commander of the Army of the Republic of Nagorno-Karabakh","To Minister of defence of Russian Federation, P.S. Grachov

To The Chariman of the OSCE Minsk conference on Nagorno-Karabakh, Y. Eliyason

To The Minister of Foreign Affairs of the Russian Federation, A.V. Kozyrev; V.H. Kazimirov","Page 1: By positively evaluating in general the observance of the ceasefire from 12 May 1994 in accordance with the agreement created with Russian mediation in the period from 09 to 11 May of this year, and by responding to the call of the official representatives of the president of the Russian Federation and the Chair of the OSCE Minsk Conference dated 23 June of this year.

Page 1:...The fighting parties confirm the following:
- Their firm resolution to continue to fulfil their obligations under the ceasefire and in particular meaning, through the ceasefire, to preserve the conditions for signing a comprehensive political agreement and placement of international observers in the conflict zone.
- Their aim to intensify efforts to complete the comprehensive political agreement within 30 days of August 1994, in which the military-technical issues will be addressed including the cooperation of international security forces and an OSCE observation mission.

Page 1:...The opposing parties agree in the agreed terms to confirm the responsibilities they have taken upon themselves in relation to the ceasefire and to maintain the ceasefire regime until the signing of a comprehensive political agreement which provides for the total cessation of hostilities.",AZE,ARM,388.0,,,872,No,"An agreement in which the parties reaffirm their commitment to continue to meet their obligations under the previous ceasefire agreement, and set out a timeline for completion of a comprehensive political agreement to settle the conflict.",Intrastate,Ceasefire,2,Ceasefire,Agreement on Confirmation of Commitment to Ceasefire (27/07/1994),https://pax.peaceagreements.org/agreements/1733/,https://pax.peaceagreements.org/agreements/coding1733/,https://pax.peaceagreements.org/media/documents/ag1733_587f744cbe601.pdf,1994
